Respondent_Serial,Main Brand,Service provider,Month,City,Region,Detailed_Nationality,Nationality,Gender,Performance,Preference,TRIM_Score
40014045,Friendi - Prepaid,Friendi,Jun'18,JEDDAH,Western,Egyptian,Expat Arabs,Male,5,4,4.5
40007092,Lebara - Prepaid,Lebara,Jun'18,JEDDAH,Western,Sudani,Expat Arabs,Male,5,5,5
40003222,Friendi - Prepaid,Friendi,Jun'18,AD DAMMAM,Eastern,Sudani,Expat Arabs,Male,5,4,4.5
40005720,Friendi - Prepaid,Friendi,Jun'18,AR RIYADH,Central,Sudani,Expat Arabs,Male,3,1,2
40000071,Lebara - Prepaid,Lebara,Jun'18,AR RIYADH,Central,Sudani,Expat Arabs,Female,5,5,5
40003442,Friendi - Prepaid,Friendi,Jun'18,AT TAIF,Western,Yemeni,Expat Arabs,Male,2,3,2.5
40003636,Lebara - Prepaid,Lebara,Jun'18,AL KHABRA&apos;,Central,Sudani,Expat Arabs,Male,3,5,4
40007619,Lebara - Prepaid,Lebara,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Egyptian,Expat Arabs,Male,5,5,5
40005773,Lebara - Internet on Mobile,Lebara,Jun'18,JEDDAH,Western,Other (specify):,Expat Asians,Male,5,4,4.5
40005506,Virgin - Prepaid,Virgin,Jun'18,AR RIYADH,Central,Sudani,Expat Arabs,Female,3,3,3
40013421,Lebara - Prepaid,Lebara,Jun'18,AR RIYADH,Central,Sudani,Expat Arabs,Female,5,4,4.5
40004723,Friendi - Prepaid,Friendi,Jun'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,5,5,5
40013988,Lebara - Prepaid,Lebara,Jun'18,SABYA,Southern,Saudis,Nationals,Female,5,5,5
40007997,Lebara - Prepaid,Lebara,Jun'18,AR RIYADH,Central,Sudani,Expat Arabs,Female,4,4,4
40013862,Lebara - Prepaid,Lebara,Jun'18,HAIL,Northern,Saudis,Nationals,Male,4,4,4
20001664,STC - Prepaid,STC,Jun'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Female,1,3,2
20002049,STC - Data SIM,STC,Jun'18,TABUK,Northern,Saudis,Nationals,Female,4,4,4
20001413,STC - Postpaid,STC,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,3,5,4
20000208,STC - Internet on Mobile,STC,Jun'18,ABHA,Southern,Saudis,Nationals,Female,2,1,1.5
20001752,STC - Data SIM,STC,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,2,2,2
20001449,STC - Postpaid,STC,Jun'18,JEDDAH,Western,Saudis,Nationals,Female,3,4,3.5
20002389,STC - Postpaid,STC,Jun'18,TABUK,Northern,Saudis,Nationals,Male,1,1,1
20002656,STC - Internet on Mobile,STC,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,5,5,5
20001736,STC - Prepaid,STC,Jun'18,AT TAIF,Western,Yemeni,Expat Arabs,Male,5,3,4
20002948,STC - Postpaid,STC,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,2,2,2
20001827,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Yemeni,Expat Arabs,Male,3,1,2
20001380,STC - Postpaid,STC,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,1,3,2
20000404,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,3,3
20002643,STC - Postpaid,STC,Jun'18,JEDDAH,Western,Syrian,Expat Arabs,Male,5,4,4.5
20002744,STC - Prepaid,STC,Jun'18,NAJRAN,Southern,Saudis,Nationals,Male,2,3,2.5
20002944,STC - Internet on Mobile,STC,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,1,1,1
20000518,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Sudani,Expat Arabs,Male,4,3,3.5
20000937,STC - Data SIM,STC,Jun'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,3,4,3.5
20000955,STC - Prepaid,STC,Jun'18,JIZAN,Southern,Saudis,Nationals,Male,5,1,3
20002162,STC - Prepaid,STC,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Egyptian,Expat Arabs,Male,2,4,3
20001051,STC - Prepaid,STC,Jun'18,TABUK,Northern,Saudis,Nationals,Male,2,3,2.5
20000307,STC - Postpaid,STC,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,3,5,4
20001286,STC - Postpaid,STC,Jun'18,AR RIYADH,Central,Yemeni,Expat Arabs,Male,5,5,5
20001462,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,4,4,4
20000347,STC - Prepaid,STC,Jun'18,SABYA,Southern,Egyptian,Expat Arabs,Male,5,5,5
20002714,STC - Postpaid,STC,Jun'18,ABHA,Southern,Yemeni,Expat Arabs,Male,2,3,2.5
20000399,STC - Prepaid,STC,Jun'18,JIZAN,Southern,Saudis,Nationals,Male,5,5,5
20000719,STC - Data SIM,STC,Jun'18,JIZAN,Southern,Saudis,Nationals,Female,3,4,3.5
20002187,STC - Prepaid,STC,Jun'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,3,3,3
20000824,STC - Prepaid,STC,Jun'18,Other (specify):,Others,Sudani,Expat Arabs,Male,5,4,4.5
20000582,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,4,Don&apos;t know,4
20000153,STC - Prepaid,STC,Jun'18,Other (specify):,Others,Palestinian,Expat Arabs,Male,3,3,3
20001214,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Saudis,Nationals,Female,5,5,5
20000581,STC - Prepaid,STC,Jun'18,SABYA,Southern,Egyptian,Expat Arabs,Male,5,5,5
20000370,STC - Prepaid,STC,Jun'18,NAJRAN,Southern,Saudis,Nationals,Male,1,2,1.5
20002608,STC - Prepaid,STC,Jun'18,JIZAN,Southern,Saudis,Nationals,Male,5,3,4
20001353,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Syrian,Expat Arabs,Male,4,3,3.5
20003012,STC - Data SIM,STC,Jun'18,AR RIYADH,Central,Saudis,Nationals,Female,1,1,1
20001708,STC - Prepaid,STC,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,5,4,4.5
20002662,STC - Prepaid,STC,Jun'18,AL KHUBAR,Eastern,Saudis,Nationals,Male,3,4,3.5
